date,sku,product_name,qty_sold,unit_price,sales_amount,expiry_date
2025-04-12,SKU0059,Peek Freans Sooper Biscuit Half Roll,6,68.8,397.84,2025-10-24
2025-04-12,SKU0060,Peek Freans Chocolate Chip 90g,27,65.18,1735.51,2025-12-26
2025-04-12,SKU0061,Jubilee Chocolate Biscuit 90g,28,51.42,1488.62,2026-01-24
2025-04-12,SKU0062,Jubilee Coconut Biscuit 90g,43,56.07,2377.52,2026-01-03
2025-04-12,SKU0065,Rio Wafer 18g,13,44.67,575.59,2025-11-02
2025-04-12,SKU0066,Rio Wafer 45g,33,21.4,688.26,2026-02-24
2025-04-12,SKU0068,English Biscuit White Bread Large,1,79.66,82.06,2025-10-22
2025-04-12,SKU0069,English Biscuit Brown Bread Medium,23,73.13,1604.3,2025-08-17
2025-04-12,SKU0070,English Biscuit Brown Bread Large,19,71.55,1374.79,2025-08-18
2025-04-12,SKU0071,Peek Freans Cake Rusk Regular,21,150.19,3197.73,2025-12-08
2025-04-12,SKU0072,Peek Freans Cake Rusk Chocolate,8,191.46,1581.12,2025-12-23
2025-04-12,SKU0074,Bake Parlor Rusk Plain,3,114.16,338.86,2025-10-14
2025-04-12,SKU0076,Dawn White Bread Medium,34,89.52,3046.89,2025-12-05
2025-04-12,SKU0078,National Biryani Masala 100g,21,51.78,1119.25,2026-11-08
2025-04-12,SKU0080,National Nihari Masala 50g,36,74.85,2654.46,2027-01-15
2025-04-12,SKU0081,Shan Biryani Masala 50g,30,40.95,1257.54,2027-03-04
2025-04-12,SKU0083,Shan Chicken Tikka 50g,17,52.99,867.06,2027-01-16
2025-04-12,SKU0085,Mehran Seekh Kabab 50g,25,51.47,1223.43,2027-07-17
2025-04-12,SKU0086,Dalda Cooking Oil 1L,7,700.03,4781.67,2027-04-19
2025-04-12,SKU0087,Dalda Cooking Oil 2.5L,29,310.29,8605.68,2026-09-27
2025-04-12,SKU0088,Dalda Cooking Oil 5L,11,1034.02,11877.31,2026-09-20
2025-04-12,SKU0090,Habib Banaspati 2.5kg,11,344.02,3606.69,2027-01-22
2025-04-12,SKU0091,Eva Cooking Oil 1L,32,387.42,12137.34,2026-12-24
2025-04-12,SKU0093,Tapal Danedar Tea 190g,23,266.55,5929.98,2027-10-20
2025-04-12,SKU0094,Tapal Danedar Tea 475g,20,465.01,9756.6,2027-05-28
2025-04-12,SKU0098,Vital Tea 475g,33,346.22,10996.84,2026-10-13
2025-04-12,SKU0100,Sufi Basmati Rice 10kg,30,1230.04,38056.51,2027-02-07
2025-04-12,SKU0102,Guard Super Basmati 10kg,28,901.45,25031.54,2026-12-20
2025-04-12,SKU0103,Mehran Basmati Rice 5kg,28,650.88,17426.99,2027-05-31
2025-04-12,SKU0104,Shangrila Vermicelli 200g,18,99.49,1703.55,2026-08-20
2025-04-12,SKU0105,Shangrila Vermicelli 400g,18,102.06,1770.6,2026-03-19
2025-04-12,SKU0110,Shan Red Chilli Powder 200g,5,83.29,426.17,2027-07-28
2025-04-12,SKU0112,Lux Beauty Soap 3-pack,21,146.83,3126.64,2028-07-08
2025-04-12,SKU0113,Lux Beauty Soap 6-pack,19,255.81,4936.43,2028-06-12
2025-04-12,SKU0114,Lifebuoy Soap 3-pack,37,229.35,8638.9,2028-04-17
2025-04-12,SKU0116,Safeguard Soap 3-pack,6,179.26,1105.84,2028-07-06
2025-04-12,SKU0117,Dettol Soap 3-pack,4,189.53,759.27,2028-01-02
2025-04-12,SKU0118,Dove Beauty Bar 100g,28,177.77,5059.62,2027-10-06
2025-04-12,SKU0119,Dove Beauty Bar 3-pack,38,300.96,11791.54,2027-09-15
2025-04-12,SKU0121,Fair & Lovely Cream 50g,19,105.22,2052.53,2028-01-17
2025-04-12,SKU0123,Pond's Face Cream 50g,10,248.1,2366.01,2028-04-20
2025-04-12,SKU0124,Pantene Shampoo 180ml,19,389.99,7269.59,2027-07-03
2025-04-12,SKU0126,Pantene Shampoo 650ml,20,201.28,3836.33,2028-03-03
2025-04-12,SKU0127,Head & Shoulders Shampoo 185ml,14,445.74,6202.05,2028-04-09
2025-04-12,SKU0128,Head & Shoulders Shampoo 400ml,32,404.28,13188.02,2028-02-25
2025-04-12,SKU0129,Sunsilk Shampoo 180ml,30,257.35,8040.94,2028-01-28
2025-04-12,SKU0131,Clear Shampoo 185ml,31,386.64,11980.06,2028-04-03
2025-04-12,SKU0132,Clear Shampoo 400ml,1,384.11,387.68,2028-07-25
2025-04-12,SKU0133,Colgate Toothpaste 75g,26,116.87,3023.13,2028-04-06
2025-04-12,SKU0135,Close Up Toothpaste 75g,12,195.77,2292.38,2028-06-25
2025-04-12,SKU0136,Close Up Toothpaste 150g,31,109.65,3560.34,2028-07-31
2025-04-12,SKU0137,Sensodyne Toothpaste 75g,24,279.78,6620.11,2028-03-22
2025-04-12,SKU0138,Surf Excel Detergent 1kg,24,1295.0,30897.66,2028-02-08
2025-04-12,SKU0139,Surf Excel Detergent 3kg,16,1148.22,18381.23,2027-12-17
2025-04-12,SKU0140,Surf Excel Detergent 6kg,14,1065.64,15335.88,2028-03-28
2025-04-12,SKU0141,Ariel Detergent 1kg,30,719.5,21514.65,2028-07-04
2025-04-12,SKU0142,Ariel Detergent 3kg,28,569.05,16648.93,2028-08-24
2025-04-12,SKU0143,Bonus Detergent 1kg,33,570.77,18463.76,2027-10-22
2025-04-12,SKU0144,Bonus Detergent 3kg,26,277.9,7086.64,2028-04-26
2025-04-12,SKU0145,Wheel Detergent 1kg,26,131.51,3428.88,2028-04-10
2025-04-12,SKU0147,Harpic Toilet Cleaner 1L,10,273.89,2697.6,2028-01-28
2025-04-12,SKU0148,Dettol Disinfectant 500ml,29,270.99,7578.09,2028-08-04
2025-04-12,SKU0150,Vim Dishwash Bar 250g,29,74.42,2072.35,2028-04-29
2025-04-12,SKU0151,Vim Dishwash Bar 500g,24,98.09,2315.47,2028-09-12
2025-04-12,SKU0152,K&N's Chicken Nuggets 500g,30,553.78,17067.31,2026-08-27
2025-04-12,SKU0153,K&N's Chicken Nuggets 1kg,24,732.62,17911.67,2026-06-29
2025-04-12,SKU0156,Menu Plain Paratha 20-pack,11,245.1,2711.79,2026-07-11
2025-04-12,SKU0157,Menu Plain Paratha 30-pack,33,374.91,11770.16,2026-02-20
2025-04-12,SKU0158,Makkhan Paratha 20-pack,2,223.36,431.82,2026-03-09
2025-04-12,SKU0159,Walls Ice Cream Cornetto Single,7,82.04,596.77,2026-08-10
2025-04-13,SKU0001,Nestle Everyday Milk 1L,23,160.27,3555.52,2025-12-04
2025-04-13,SKU0005,Olpers Full Cream Milk 500ml,5,248.34,1214.54,2025-11-19
2025-04-13,SKU0006,Haleeb Fresh Milk 1L,18,216.19,3831.9,2025-09-18
2025-04-13,SKU0007,Haleeb Fresh Milk 500ml,18,181.31,3243.46,2025-12-07
2025-04-13,SKU0008,Nurpur Milk 1L,10,149.39,1548.91,2025-07-21
2025-04-13,SKU0012,Nestle Yogurt 900g,0,72.85,0.0,2025-09-17
2025-04-13,SKU0013,Tarang Dahi 500g,11,121.81,1312.61,2025-06-27
2025-04-13,SKU0014,Tarang Dahi 1kg,6,127.69,740.2,2025-09-08
2025-04-13,SKU0015,Olpers Cheese Slices 200g,8,204.42,1656.2,2025-12-22
2025-04-13,SKU0016,Olpers Cheese Slices 400g,17,232.22,4050.53,2025-10-23
2025-04-13,SKU0017,Nurpur Butter 200g,6,263.73,1644.84,2025-11-18
2025-04-13,SKU0019,Coca Cola Coke 500ml,2,53.14,105.11,2026-06-05
2025-04-13,SKU0021,Coca Cola Coke 2.25L,6,120.16,709.23,2026-05-06
2025-04-13,SKU0024,Pepsi Pepsi 1.5L,10,140.83,1367.09,2026-02-06
2025-04-13,SKU0025,Pepsi Pepsi 2.25L,16,110.71,1684.14,2026-08-25
2025-04-13,SKU0026,7UP 7UP 250ml,16,143.3,2230.16,2026-02-27
2025-04-13,SKU0028,7UP 7UP 1.5L,20,85.11,1692.31,2025-12-04
2025-04-13,SKU0029,Sprite Sprite 250ml,7,120.31,860.77,2026-09-08
2025-04-13,SKU0032,Fanta Orange 500ml,18,96.43,1807.13,2026-08-13
2025-04-13,SKU0033,Fanta Orange 1.5L,4,77.25,295.58,2026-09-03
2025-04-13,SKU0035,Shezan Mango Juice 1L,4,133.08,522.45,2026-04-17
2025-04-13,SKU0037,Nestle Pure Life Water 500ml,1,43.78,43.69,2026-09-20
2025-04-13,SKU0039,Aquafina Water 500ml,7,33.38,229.81,2026-10-03
2025-04-13,SKU0040,Aquafina Water 1.5L,6,46.63,272.34,2027-03-21
2025-04-13,SKU0041,Gourmet Green Tea 25 bags,18,247.17,4632.55,2027-06-24
2025-04-13,SKU0043,Gourmet Green Tea 100 bags,16,300.65,4583.57,2027-06-04
2025-04-13,SKU0044,Lipton Yellow Label Tea 100 bags,12,408.12,4728.88,2027-06-29
2025-04-13,SKU0046,Vital Energy Drink 250ml,20,81.95,1603.13,2026-10-01
2025-04-13,SKU0048,Lays Masala Chips 68g,5,87.27,432.83,2025-11-10
2025-04-13,SKU0052,Kolson Slanty 40g,13,42.2,533.77,2025-11-24
2025-04-13,SKU0053,Super Crisp Nimko 100g,2,87.85,179.57,2025-09-09
2025-04-13,SKU0054,Super Crisp Nimko 200g,2,81.0,158.93,2026-01-18
2025-04-13,SKU0055,Cheetos Crunchy 48g,5,42.95,221.09,2025-11-03
2025-04-13,SKU0058,Peek Freans Sooper Biscuit Family Pack,7,72.31,509.62,2026-03-10
2025-04-13,SKU0059,Peek Freans Sooper Biscuit Half Roll,5,68.8,333.02,2025-10-24
2025-04-13,SKU0060,Peek Freans Chocolate Chip 90g,12,65.18,783.72,2026-01-20
2025-04-13,SKU0061,Jubilee Chocolate Biscuit 90g,10,51.42,493.1,2026-01-01
2025-04-13,SKU0062,Jubilee Coconut Biscuit 90g,26,56.07,1437.17,2026-04-10
2025-04-13,SKU0065,Rio Wafer 18g,9,44.67,420.58,2025-11-02
2025-04-13,SKU0066,Rio Wafer 45g,20,21.4,414.62,2026-03-20
2025-04-13,SKU0068,English Biscuit White Bread Large,0,79.66,0.0,2025-11-26
2025-04-13,SKU0069,English Biscuit Brown Bread Medium,10,73.13,739.22,2025-06-22
2025-04-13,SKU0070,English Biscuit Brown Bread Large,12,71.55,819.7,2025-08-03
2025-04-13,SKU0071,Peek Freans Cake Rusk Regular,16,150.19,2370.62,2025-11-01
2025-04-13,SKU0072,Peek Freans Cake Rusk Chocolate,5,191.46,997.29,2025-09-10
2025-04-13,SKU0074,Bake Parlor Rusk Plain,0,114.16,0.0,2026-01-08
2025-04-13,SKU0076,Dawn White Bread Medium,16,89.52,1439.88,2025-07-03
2025-04-13,SKU0078,National Biryani Masala 100g,11,51.78,559.72,2026-12-17
2025-04-13,SKU0080,National Nihari Masala 50g,18,74.85,1317.79,2026-10-20
2025-04-13,SKU0081,Shan Biryani Masala 50g,14,40.95,594.67,2027-07-01
2025-04-13,SKU0083,Shan Chicken Tikka 50g,7,52.99,371.95,2026-08-11
2025-04-13,SKU0085,Mehran Seekh Kabab 50g,17,51.47,903.09,2027-04-06
2025-04-13,SKU0086,Dalda Cooking Oil 1L,2,700.03,1447.8,2026-09-21
2025-04-13,SKU0087,Dalda Cooking Oil 2.5L,11,310.29,3273.72,2026-10-24
2025-04-13,SKU0088,Dalda Cooking Oil 5L,6,1034.02,6227.97,2027-01-30
2025-04-13,SKU0090,Habib Banaspati 2.5kg,6,344.02,2031.15,2026-09-30
2025-04-13,SKU0091,Eva Cooking Oil 1L,15,387.42,5791.18,2026-07-21
2025-04-13,SKU0093,Tapal Danedar Tea 190g,10,266.55,2755.6,2027-04-25
2025-04-13,SKU0094,Tapal Danedar Tea 475g,12,465.01,5471.82,2026-10-23
2025-04-13,SKU0098,Vital Tea 475g,16,346.22,5692.04,2026-12-12
2025-04-13,SKU0100,Sufi Basmati Rice 10kg,13,1230.04,15330.98,2026-12-21
2025-04-13,SKU0102,Guard Super Basmati 10kg,14,901.45,12353.96,2026-12-17
2025-04-13,SKU0103,Mehran Basmati Rice 5kg,14,650.88,9370.64,2027-04-22
2025-04-13,SKU0104,Shangrila Vermicelli 200g,8,99.49,775.31,2026-06-01
2025-04-13,SKU0105,Shangrila Vermicelli 400g,9,102.06,907.9,2026-05-12
2025-04-13,SKU0110,Shan Red Chilli Powder 200g,3,83.29,237.88,2027-03-14
2025-04-13,SKU0112,Lux Beauty Soap 3-pack,8,146.83,1127.42,2028-06-01
2025-04-13,SKU0113,Lux Beauty Soap 6-pack,7,255.81,1804.8,2028-03-01
2025-04-13,SKU0114,Lifebuoy Soap 3-pack,19,229.35,4196.32,2028-04-27
2025-04-13,SKU0116,Safeguard Soap 3-pack,1,179.26,180.36,2028-01-15
2025-04-13,SKU0117,Dettol Soap 3-pack,2,189.53,385.41,2027-10-24
2025-04-13,SKU0118,Dove Beauty Bar 100g,11,177.77,2010.47,2027-09-16
2025-04-13,SKU0119,Dove Beauty Bar 3-pack,19,300.96,5955.68,2028-01-18
2025-04-13,SKU0121,Fair & Lovely Cream 50g,5,105.22,537.43,2028-01-27
2025-04-13,SKU0123,Pond's Face Cream 50g,3,248.1,710.58,2028-04-15
2025-04-13,SKU0124,Pantene Shampoo 180ml,10,389.99,4068.4,2027-08-16
2025-04-13,SKU0126,Pantene Shampoo 650ml,13,201.28,2653.63,2028-09-30
2025-04-13,SKU0127,Head & Shoulders Shampoo 185ml,9,445.74,4093.93,2027-12-28
2025-04-13,SKU0128,Head & Shoulders Shampoo 400ml,16,404.28,6681.75,2028-03-06
2025-04-13,SKU0129,Sunsilk Shampoo 180ml,12,257.35,2977.37,2028-06-30
2025-04-13,SKU0131,Clear Shampoo 185ml,14,386.64,5504.16,2027-10-28
2025-04-13,SKU0132,Clear Shampoo 400ml,0,384.11,0.0,2028-09-21
2025-04-13,SKU0133,Colgate Toothpaste 75g,13,116.87,1451.65,2028-03-10
2025-04-13,SKU0135,Close Up Toothpaste 75g,7,195.77,1422.23,2028-03-13
2025-04-13,SKU0136,Close Up Toothpaste 150g,13,109.65,1374.92,2028-07-01
2025-04-13,SKU0137,Sensodyne Toothpaste 75g,12,279.78,3424.46,2028-02-23
2025-04-13,SKU0138,Surf Excel Detergent 1kg,12,1295.0,15157.37,2028-03-07
2025-04-13,SKU0139,Surf Excel Detergent 3kg,8,1148.22,8785.95,2027-08-12
2025-04-13,SKU0140,Surf Excel Detergent 6kg,1,1065.64,1102.01,2028-07-30
2025-04-13,SKU0141,Ariel Detergent 1kg,17,719.5,12084.09,2027-10-09
2025-04-13,SKU0142,Ariel Detergent 3kg,15,569.05,8957.26,2028-04-01
2025-04-13,SKU0143,Bonus Detergent 1kg,14,570.77,7991.83,2028-10-25
2025-04-13,SKU0144,Bonus Detergent 3kg,16,277.9,4562.24,2027-12-23
2025-04-13,SKU0145,Wheel Detergent 1kg,14,131.51,1830.75,2028-02-04
2025-04-13,SKU0147,Harpic Toilet Cleaner 1L,3,273.89,809.85,2028-05-12
2025-04-13,SKU0148,Dettol Disinfectant 500ml,14,270.99,3798.68,2027-12-29
2025-04-13,SKU0150,Vim Dishwash Bar 250g,16,74.42,1209.94,2028-04-29
2025-04-13,SKU0151,Vim Dishwash Bar 500g,13,98.09,1308.59,2028-01-28
2025-04-13,SKU0152,K&N's Chicken Nuggets 500g,14,553.78,7985.2,2026-05-16
2025-04-13,SKU0153,K&N's Chicken Nuggets 1kg,14,732.62,10719.45,2026-07-15
2025-04-13,SKU0156,Menu Plain Paratha 20-pack,3,245.1,760.96,2026-03-10
2025-04-13,SKU0157,Menu Plain Paratha 30-pack,16,374.91,5866.82,2026-07-16
2025-04-13,SKU0158,Makkhan Paratha 20-pack,2,223.36,443.28,2026-09-26
2025-04-13,SKU0159,Walls Ice Cream Cornetto Single,3,82.04,248.48,2026-05-12
2025-04-14,SKU0001,Nestle Everyday Milk 1L,18,160.27,2763.59,2025-12-04
2025-04-14,SKU0005,Olpers Full Cream Milk 500ml,4,248.34,1030.31,2025-10-11
2025-04-14,SKU0006,Haleeb Fresh Milk 1L,15,216.19,3325.38,2025-06-05
2025-04-14,SKU0007,Haleeb Fresh Milk 500ml,15,181.31,2729.19,2025-06-11
2025-04-14,SKU0008,Nurpur Milk 1L,7,149.39,1061.04,2025-09-02
2025-04-14,SKU0012,Nestle Yogurt 900g,1,72.85,71.72,2025-11-14
2025-04-14,SKU0013,Tarang Dahi 500g,9,121.81,1072.47,2025-10-25
2025-04-14,SKU0014,Tarang Dahi 1kg,2,127.69,264.17,2025-08-16
2025-04-14,SKU0015,Olpers Cheese Slices 200g,7,204.42,1460.49,2026-01-15
2025-04-14,SKU0016,Olpers Cheese Slices 400g,14,232.22,3349.45,2025-09-18
2025-04-14,SKU0017,Nurpur Butter 200g,1,263.73,254.08,2025-12-20
2025-04-14,SKU0019,Coca Cola Coke 500ml,5,53.14,258.64,2026-04-16
2025-04-14,SKU0021,Coca Cola Coke 2.25L,0,120.16,0.0,2026-01-26
2025-04-14,SKU0024,Pepsi Pepsi 1.5L,6,140.83,813.34,2026-06-14
2025-04-14,SKU0025,Pepsi Pepsi 2.25L,16,110.71,1755.42,2026-03-07
2025-04-14,SKU0026,7UP 7UP 250ml,11,143.3,1520.55,2026-01-10
2025-04-14,SKU0028,7UP 7UP 1.5L,15,85.11,1267.91,2026-05-24
2025-04-14,SKU0029,Sprite Sprite 250ml,8,120.31,938.98,2026-09-08
2025-04-14,SKU0032,Fanta Orange 500ml,13,96.43,1311.83,2025-12-18
2025-04-14,SKU0033,Fanta Orange 1.5L,2,77.25,159.2,2026-03-29
2025-04-14,SKU0035,Shezan Mango Juice 1L,7,133.08,889.02,2026-04-17
2025-04-14,SKU0037,Nestle Pure Life Water 500ml,4,43.78,183.27,2027-04-29
2025-04-14,SKU0039,Aquafina Water 500ml,11,33.38,359.61,2027-03-11
2025-04-14,SKU0040,Aquafina Water 1.5L,3,46.63,142.12,2026-10-03
2025-04-14,SKU0041,Gourmet Green Tea 25 bags,14,247.17,3323.61,2027-07-02
2025-04-14,SKU0043,Gourmet Green Tea 100 bags,14,300.65,4351.13,2026-11-17
2025-04-14,SKU0044,Lipton Yellow Label Tea 100 bags,9,408.12,3821.58,2026-08-19
2025-04-14,SKU0046,Vital Energy Drink 250ml,14,81.95,1181.87,2026-11-07
2025-04-14,SKU0048,Lays Masala Chips 68g,3,87.27,267.71,2025-11-06
2025-04-14,SKU0052,Kolson Slanty 40g,16,42.2,676.52,2025-12-17
2025-04-14,SKU0053,Super Crisp Nimko 100g,5,87.85,439.3,2025-11-05
2025-04-14,SKU0054,Super Crisp Nimko 200g,5,81.0,424.82,2025-09-27
2025-04-14,SKU0055,Cheetos Crunchy 48g,3,42.95,130.26,2025-09-25
2025-04-14,SKU0058,Peek Freans Sooper Biscuit Family Pack,4,72.31,298.15,2026-01-30
2025-04-14,SKU0059,Peek Freans Sooper Biscuit Half Roll,6,68.8,424.51,2026-03-22
2025-04-14,SKU0060,Peek Freans Chocolate Chip 90g,9,65.18,588.73,2026-01-28
2025-04-14,SKU0061,Jubilee Chocolate Biscuit 90g,12,51.42,618.44,2026-03-23
2025-04-14,SKU0062,Jubilee Coconut Biscuit 90g,21,56.07,1130.8,2025-11-07
2025-04-14,SKU0065,Rio Wafer 18g,9,44.67,400.1,2025-12-02
2025-04-14,SKU0066,Rio Wafer 45g,14,21.4,306.15,2026-03-13
2025-04-14,SKU0068,English Biscuit White Bread Large,1,79.66,77.42,2025-05-31
2025-04-14,SKU0069,English Biscuit Brown Bread Medium,7,73.13,532.67,2025-06-10
2025-04-14,SKU0070,English Biscuit Brown Bread Large,9,71.55,657.21,2025-11-27
2025-04-14,SKU0071,Peek Freans Cake Rusk Regular,11,150.19,1601.98,2025-08-18
2025-04-14,SKU0072,Peek Freans Cake Rusk Chocolate,3,191.46,600.54,2025-11-01
2025-04-14,SKU0074,Bake Parlor Rusk Plain,1,114.16,112.18,2025-11-23
2025-04-14,SKU0076,Dawn White Bread Medium,16,89.52,1413.36,2025-07-03
2025-04-14,SKU0078,National Biryani Masala 100g,7,51.78,368.65,2027-04-09
2025-04-14,SKU0080,National Nihari Masala 50g,15,74.85,1096.05,2027-07-11
2025-04-14,SKU0081,Shan Biryani Masala 50g,9,40.95,366.28,2026-12-27
2025-04-14,SKU0083,Shan Chicken Tikka 50g,7,52.99,371.85,2027-01-31
2025-04-14,SKU0085,Mehran Seekh Kabab 50g,13,51.47,696.97,2027-03-21
2025-04-14,SKU0086,Dalda Cooking Oil 1L,3,700.03,2189.76,2027-03-16
2025-04-14,SKU0087,Dalda Cooking Oil 2.5L,12,310.29,3617.58,2026-09-27
2025-04-14,SKU0088,Dalda Cooking Oil 5L,0,1034.02,0.0,2026-09-20
2025-04-14,SKU0090,Habib Banaspati 2.5kg,0,344.02,0.0,2027-03-15
2025-04-14,SKU0091,Eva Cooking Oil 1L,14,387.42,5449.05,2027-01-28
2025-04-14,SKU0093,Tapal Danedar Tea 190g,11,266.55,2883.04,2026-12-17
2025-04-14,SKU0094,Tapal Danedar Tea 475g,8,465.01,3734.38,2026-08-28
2025-04-14,SKU0098,Vital Tea 475g,13,346.22,4654.59,2026-12-28
2025-04-14,SKU0100,Sufi Basmati Rice 10kg,11,1230.04,14174.96,2026-07-02
2025-04-14,SKU0102,Guard Super Basmati 10kg,11,901.45,9664.6,2027-04-14
2025-04-14,SKU0103,Mehran Basmati Rice 5kg,13,650.88,8558.18,2027-03-12
2025-04-14,SKU0104,Shangrila Vermicelli 200g,5,99.49,476.37,2026-02-24
2025-04-14,SKU0105,Shangrila Vermicelli 400g,6,102.06,640.43,2026-03-19
2025-04-14,SKU0110,Shan Red Chilli Powder 200g,2,83.29,166.79,2027-03-22
2025-04-14,SKU0112,Lux Beauty Soap 3-pack,7,146.83,1039.77,2027-11-03
2025-04-14,SKU0113,Lux Beauty Soap 6-pack,9,255.81,2279.6,2028-05-16
2025-04-14,SKU0114,Lifebuoy Soap 3-pack,19,229.35,4274.67,2027-12-28
2025-04-14,SKU0116,Safeguard Soap 3-pack,5,179.26,864.63,2028-01-18
2025-04-14,SKU0117,Dettol Soap 3-pack,2,189.53,374.45,2027-08-16
2025-04-14,SKU0118,Dove Beauty Bar 100g,10,177.77,1853.22,2028-04-27
2025-04-14,SKU0119,Dove Beauty Bar 3-pack,16,300.96,4675.4,2028-06-13
2025-04-14,SKU0121,Fair & Lovely Cream 50g,4,105.22,427.61,2027-09-11
2025-04-14,SKU0123,Pond's Face Cream 50g,5,248.1,1216.0,2027-11-28
2025-04-14,SKU0124,Pantene Shampoo 180ml,6,389.99,2378.03,2028-03-05
2025-04-14,SKU0126,Pantene Shampoo 650ml,7,201.28,1460.11,2028-07-29
2025-04-14,SKU0127,Head & Shoulders Shampoo 185ml,7,445.74,3038.89,2028-06-03
2025-04-14,SKU0128,Head & Shoulders Shampoo 400ml,13,404.28,5229.91,2028-03-06
2025-04-14,SKU0129,Sunsilk Shampoo 180ml,16,257.35,4233.79,2028-03-05
2025-04-14,SKU0131,Clear Shampoo 185ml,15,386.64,5676.14,2028-08-14
2025-04-14,SKU0132,Clear Shampoo 400ml,0,384.11,0.0,2028-06-20
2025-04-14,SKU0133,Colgate Toothpaste 75g,9,116.87,1054.26,2028-03-31
2025-04-14,SKU0135,Close Up Toothpaste 75g,3,195.77,565.96,2027-08-03
2025-04-14,SKU0136,Close Up Toothpaste 150g,11,109.65,1257.32,2027-12-04
2025-04-14,SKU0137,Sensodyne Toothpaste 75g,9,279.78,2559.69,2027-10-21
2025-04-14,SKU0138,Surf Excel Detergent 1kg,11,1295.0,14413.83,2027-11-25
2025-04-14,SKU0139,Surf Excel Detergent 3kg,8,1148.22,9361.04,2027-08-12
2025-04-14,SKU0140,Surf Excel Detergent 6kg,2,1065.64,2071.38,2028-06-02
2025-04-14,SKU0141,Ariel Detergent 1kg,13,719.5,9538.08,2027-09-20
2025-04-14,SKU0142,Ariel Detergent 3kg,11,569.05,6505.54,2027-11-28
2025-04-14,SKU0143,Bonus Detergent 1kg,16,570.77,9288.57,2028-03-31
2025-04-14,SKU0144,Bonus Detergent 3kg,10,277.9,2895.32,2028-02-11
2025-04-14,SKU0145,Wheel Detergent 1kg,8,131.51,1019.11,2028-04-28
2025-04-14,SKU0147,Harpic Toilet Cleaner 1L,8,273.89,2109.01,2028-05-26
2025-04-14,SKU0148,Dettol Disinfectant 500ml,11,270.99,2907.7,2028-06-01
2025-04-14,SKU0150,Vim Dishwash Bar 250g,15,74.42,1149.1,2027-10-14
2025-04-14,SKU0151,Vim Dishwash Bar 500g,6,98.09,580.9,2028-02-05
